Skills
python
java
javascript
c++
c#
php
ruby
go
scala
swift
html
css
sql
aws
azure
google cloud
docker
kubernetes
node.js
react
angular
vue.js
git
machine learning
data science
tensorflow
pytorch
django
flask
r
objective-c
kotlin
perl
rust
typescript
sql server
mongodb
oracle
postgresql
mysql
nosql
express.js
laravel
spring
symfony
hadoop
spark
django rest framework
microservices
rest api
graphql
winforms
wpf
electron
selenium
automation testing
unit testing
integration testing
performance testing
agile
scrum
ci/cd
jenkins
circleci
travisci
ansible
puppet
chef
blockchain
solidity
smart contracts
cloud computing
virtualization
linux
unix
bash scripting
powershell
react native
flutter
dart
game development
unity
unreal engine
three.js
adobe photoshop
adobe illustrator
ai programming
deep learning
reinforcement learning
natural language processing
computer vision
data visualization
big data
devops
microcontrollers
embedded systems
internet of things
api development
serverless
scripting
object oriented programming
functional programming
concurrent programming
distributed systems
networking
security
penetration testing
firewall configuration
data mining
etl
debugging
performance optimization
system administration
cloud architecture
containerization
virtual machines
